cancer,measure,comparison,n_intact,n_other,cliffs_delta,ci_low,ci_high
BLCA,GLUD1,intact vs hemizygous,237,153,-0.4743,-0.5702,-0.3763
BLCA,GLUD1,intact vs homozygous,237,14,-0.2188,-0.5353,0.1031
BRCA,GLUD1,intact vs hemizygous,744,269,-0.526,-0.5893,-0.4557
BRCA,GLUD1,intact vs homozygous,744,55,-0.6984,-0.8211,-0.5542
CESC,GLUD1,intact vs hemizygous,202,74,-0.5411,-0.6749,-0.4062
CESC,GLUD1,intact vs homozygous,202,14,-0.6337,-0.8692,-0.3323
COADREAD,GLUD1,intact vs hemizygous,440,133,-0.4613,-0.5684,-0.3564
COADREAD,GLUD1,intact vs homozygous,440,17,-0.7313,-0.9254,-0.4908
GBM,GLUD1,intact vs hemizygous,13,119,-0.2747,-0.6808,0.1701
GBM,GLUD1,intact vs homozygous,13,16,-0.1442,-0.5962,0.3269
HNSC,GLUD1,intact vs hemizygous,373,121,-0.3525,-0.4721,-0.2351
HNSC,GLUD1,intact vs homozygous,373,15,-0.713,-0.9421,-0.4434
LIHC,GLUD1,intact vs hemizygous,266,82,-0.5619,-0.6779,-0.4481
LIHC,GLUD1,intact vs homozygous,266,13,-0.8138,-0.9144,-0.6981
LUSC,GLUD1,intact vs hemizygous,219,217,-0.4168,-0.5101,-0.321
LUSC,GLUD1,intact vs homozygous,219,48,-0.3455,-0.5202,-0.1627
OV,GLUD1,intact vs hemizygous,172,108,-0.5745,-0.6764,-0.4681
OV,GLUD1,intact vs homozygous,172,15,-0.8581,-0.9481,-0.7449
PRAD,GLUD1,intact vs hemizygous,330,73,-0.6526,-0.7534,-0.5436
PRAD,GLUD1,intact vs homozygous,330,85,-0.7743,-0.8559,-0.6812
SARC,GLUD1,intact vs hemizygous,116,120,-0.5733,-0.6866,-0.4593
SARC,GLUD1,intact vs homozygous,116,15,-0.8264,-0.9195,-0.7172
SKCM,GLUD1,intact vs hemizygous,134,205,-0.5542,-0.6548,-0.4536
SKCM,GLUD1,intact vs homozygous,134,28,-0.589,-0.7623,-0.3912
STAD,GLUD1,intact vs hemizygous,301,89,-0.4971,-0.6088,-0.3719
STAD,GLUD1,intact vs homozygous,301,20,-0.6571,-0.8708,-0.3993
