cancer,measure,comparison,n_intact,n_other,cliffs_delta,ci_low,ci_high
BLCA,signature,intact vs hemizygous,237,153,-0.3419,-0.4422,-0.2337
BLCA,signature,intact vs homozygous,237,14,-0.1157,-0.3937,0.1894
BRCA,signature,intact vs hemizygous,744,269,-0.0982,-0.1766,-0.0126
BRCA,signature,intact vs homozygous,744,55,-0.0369,-0.2312,0.1462
CESC,signature,intact vs hemizygous,202,74,-0.3772,-0.5252,-0.2233
CESC,signature,intact vs homozygous,202,14,-0.4738,-0.8254,-0.0918
COADREAD,signature,intact vs hemizygous,440,133,-0.3712,-0.4716,-0.2738
COADREAD,signature,intact vs homozygous,440,17,-0.5353,-0.746,-0.2746
GBM,signature,intact vs hemizygous,13,119,-0.5475,-0.7996,-0.2566
GBM,signature,intact vs homozygous,13,16,-0.4519,-0.7983,-0.0385
HNSC,signature,intact vs hemizygous,373,121,-0.1523,-0.2755,-0.028
HNSC,signature,intact vs homozygous,373,15,-0.4681,-0.7405,-0.1685
LIHC,signature,intact vs hemizygous,266,82,-0.3449,-0.4726,-0.216
LIHC,signature,intact vs homozygous,266,13,-0.7073,-0.8814,-0.509
LUSC,signature,intact vs hemizygous,219,217,-0.1906,-0.2908,-0.0825
LUSC,signature,intact vs homozygous,219,48,-0.2255,-0.3971,-0.0384
OV,signature,intact vs hemizygous,172,108,-0.3257,-0.4531,-0.1927
OV,signature,intact vs homozygous,172,15,-0.3721,-0.638,-0.0628
PRAD,signature,intact vs hemizygous,330,73,-0.5574,-0.6731,-0.4362
PRAD,signature,intact vs homozygous,330,85,-0.7375,-0.8192,-0.6427
SARC,signature,intact vs hemizygous,116,120,-0.4126,-0.5389,-0.2822
SARC,signature,intact vs homozygous,116,15,-0.4069,-0.7012,-0.0793
SKCM,signature,intact vs hemizygous,134,205,-0.4253,-0.5298,-0.3123
SKCM,signature,intact vs homozygous,134,28,-0.556,-0.7217,-0.3752
STAD,signature,intact vs hemizygous,301,89,-0.0402,-0.1683,0.0949
STAD,signature,intact vs homozygous,301,20,-0.1973,-0.4675,0.0907
UCEC,signature,intact vs hemizygous,449,53,-0.2676,-0.4356,-0.0913
UCEC,signature,intact vs homozygous,449,19,-0.3171,-0.5689,-0.0519
