study,target,n_intact,n_hem,n_hom,median_intact,median_hem,median_hom,pattern,median_diff_hom_vs_intact,median_diff_ci_lo,median_diff_ci_hi,cliffs_delta_hom_vs_intact,cliffs_delta_ci_lo,cliffs_delta_ci_hi,spearman_rho,spearman_p,variance_explained_pct,trivial
BLCA,GLS,237,153,14,0.0248,-0.0559,-0.1534,monotonic decreasing,-0.1782,-0.9673,0.3073,-0.1706,-0.466,0.117,-0.0855,0.08608196265785216,0.73,True
BLCA,SLC1A5,237,153,14,-0.0249,0.127,0.5495,monotonic increasing,0.5744,0.0252,0.9303,0.3351,0.0687,0.566,0.0558,0.2631154258998609,0.31,True
BLCA,GOT1,237,153,14,0.279,-0.5557,0.1742,non-monotonic,-0.1049,-0.6642,0.525,-0.0009,-0.3099,0.3297,-0.3264,1.7579644939885264e-11,10.65,False
BLCA,GLUD1,237,153,14,0.3215,-0.5298,0.0961,non-monotonic,-0.2254,-1.2927,0.2332,-0.2188,-0.5425,0.1139,-0.3707,1.3180485600807888e-14,13.74,False
BLCA,GPT2,237,153,14,-0.2319,0.1287,0.0356,non-monotonic,0.2675,-0.3602,0.692,0.0392,-0.2701,0.3388,0.1458,0.003321075867649453,2.12,False
BLCA,signature,237,153,14,0.1126,-0.1707,-0.0137,non-monotonic,-0.1264,-0.3326,0.0334,-0.1157,-0.3671,0.1857,-0.2616,9.58920746225708e-08,6.84,False
BRCA,GLS,744,269,55,-0.1435,0.1414,0.2859,monotonic increasing,0.4294,0.2757,1.0136,0.3679,0.2119,0.5189,0.1916,2.737059358593397e-10,3.67,False
BRCA,SLC1A5,744,269,55,0.0368,0.1889,0.0655,non-monotonic,0.0288,-0.4417,0.3894,-0.0214,-0.1879,0.1456,0.0254,0.4062117738458106,0.06,True
BRCA,GOT1,744,269,55,0.0101,-0.2846,-0.0885,non-monotonic,-0.0986,-0.6561,0.0228,-0.1504,-0.3244,0.0295,-0.1224,6.0613432258397605e-05,1.5,False
BRCA,GLUD1,744,269,55,0.2479,-0.588,-1.0949,monotonic decreasing,-1.3429,-1.7349,-1.0624,-0.6984,-0.813,-0.5644,-0.4484,5.781533586734295e-54,20.11,False
BRCA,GPT2,744,269,55,-0.1839,0.0179,0.8117,monotonic increasing,0.9956,0.2746,1.3938,0.4355,0.2877,0.5757,0.1699,2.3304924336398885e-08,2.89,False
BRCA,signature,744,269,55,-0.0098,-0.0767,-0.0035,non-monotonic,0.0063,-0.3539,0.1739,-0.0369,-0.2266,0.1437,-0.0663,0.03015295884958321,0.44,True
CESC,GLS,202,74,14,-0.0688,0.2162,-0.349,non-monotonic,-0.2802,-1.1642,0.236,-0.2214,-0.5248,0.0948,0.1193,0.042408213637815696,1.42,False
CESC,SLC1A5,202,74,14,0.0663,0.0299,-0.1469,monotonic decreasing,-0.2132,-1.0003,0.0324,-0.2836,-0.5545,0.0156,-0.0708,0.22932412649777692,0.5,True
CESC,GOT1,202,74,14,0.1936,-0.6601,0.2878,non-monotonic,0.0942,-0.5307,0.9899,0.0792,-0.2864,0.4307,-0.282,1.0559714831324462e-06,7.95,False
CESC,GLUD1,202,74,14,0.2738,-0.5515,-1.1555,monotonic decreasing,-1.4293,-1.8507,-0.4067,-0.6337,-0.8847,-0.3394,-0.4451,1.6084711356497637e-15,19.82,False
CESC,GPT2,202,74,14,0.0011,-0.3267,0.2947,non-monotonic,0.2936,-0.7961,0.8456,-0.0106,-0.3374,0.343,-0.0755,0.1999685931087963,0.57,True
CESC,signature,202,74,14,0.0746,-0.1884,-0.4855,monotonic decreasing,-0.5601,-1.1374,0.0203,-0.4738,-0.8148,-0.0664,-0.3163,3.6774292676779314e-08,10.01,False
COADREAD,GLS,440,133,17,0.0573,0.1391,-0.3963,non-monotonic,-0.4535,-0.7895,0.8371,-0.088,-0.3971,0.2249,0.0376,0.3615560421692708,0.14,True
COADREAD,SLC1A5,440,133,17,-0.0791,0.0061,-0.7807,non-monotonic,-0.7015,-1.2684,0.5211,-0.3075,-0.607,0.0313,-0.018,0.6631463951121869,0.03,True
COADREAD,GOT1,440,133,17,0.121,-0.5965,-0.157,non-monotonic,-0.2781,-0.9834,0.3981,-0.1668,-0.4425,0.1035,-0.2771,7.395284542192304e-12,7.68,False
COADREAD,GLUD1,440,133,17,0.1978,-0.5835,-1.1822,monotonic decreasing,-1.38,-2.2389,-0.902,-0.7313,-0.9243,-0.4796,-0.3771,2.2250825174244697e-21,14.22,False
COADREAD,GPT2,440,133,17,0.0459,0.063,0.2657,monotonic increasing,0.2199,-0.2609,0.6728,0.0989,-0.1615,0.3618,-0.0254,0.5383826183622248,0.06,True
COADREAD,signature,440,133,17,0.0796,-0.2082,-0.4209,monotonic decreasing,-0.5005,-0.8855,-0.2562,-0.5353,-0.7612,-0.2785,-0.2973,1.6702856285658987e-13,8.84,False
GBM,GLS,13,119,16,0.343,-0.0706,-0.3435,monotonic decreasing,-0.6864,-1.5647,0.0674,-0.375,-0.7692,0.0673,-0.1387,0.09277016666453387,1.92,False
GBM,SLC1A5,13,119,16,0.426,-0.0833,0.0178,non-monotonic,-0.4082,-1.4888,0.609,-0.2788,-0.6827,0.1442,-0.0776,0.3484562790833301,0.6,True
GBM,GOT1,13,119,16,0.9557,-0.2467,-0.2849,monotonic decreasing,-1.2406,-1.8556,-0.5949,-0.5769,-0.9038,-0.1923,-0.1837,0.025408576648423074,3.38,False
GBM,GLUD1,13,119,16,0.4373,-0.2073,-0.0002,non-monotonic,-0.4376,-1.9025,0.6752,-0.1442,-0.6154,0.3269,-0.0218,0.7921889478381393,0.05,True
GBM,GPT2,13,119,16,0.2593,0.0224,0.4749,non-monotonic,0.2156,-0.9964,1.4022,0.0192,-0.4423,0.4522,0.0293,0.7236489898514876,0.09,True
GBM,signature,13,119,16,0.3095,-0.0744,0.0381,non-monotonic,-0.2714,-0.8958,0.0475,-0.4519,-0.8077,-0.0192,-0.1276,0.12234422509995965,1.63,False
HNSC,GLS,373,121,15,-0.0265,0.2448,-0.9193,non-monotonic,-0.8928,-1.6532,-0.0029,-0.3798,-0.6834,-0.0402,0.0632,0.15458851022864534,0.4,True
HNSC,SLC1A5,373,121,15,-0.0616,0.2088,-0.0697,non-monotonic,-0.0081,-0.7726,0.815,0.0241,-0.2915,0.3477,0.0608,0.17047994699504998,0.37,True
HNSC,GOT1,373,121,15,0.0534,-0.4415,-0.2765,non-monotonic,-0.3299,-0.8803,0.3788,-0.2329,-0.5072,0.0495,-0.2152,9.511322984705676e-07,4.63,False
HNSC,GLUD1,373,121,15,0.0828,-0.4778,-1.4246,monotonic decreasing,-1.5074,-2.0481,-0.7686,-0.713,-0.9385,-0.4184,-0.31,8.377849625624327e-13,9.61,False
HNSC,GPT2,373,121,15,0.0438,0.0675,0.4305,monotonic increasing,0.3867,-0.1029,0.8356,0.2325,-0.0013,0.4574,0.04,0.36806533229295274,0.16,True
HNSC,signature,373,121,15,0.0461,-0.0719,-0.2223,monotonic decreasing,-0.2684,-0.9687,-0.0603,-0.4681,-0.7326,-0.1682,-0.1515,0.0006024597379622094,2.3,False
LIHC,GLS,266,82,13,0.0264,0.3902,0.4032,monotonic increasing,0.3768,0.1113,0.7545,0.2319,-0.0422,0.4754,0.1732,0.0009506642248340012,3.0,False
LIHC,SLC1A5,266,82,13,-0.1155,0.3163,0.1973,non-monotonic,0.3127,-0.4075,0.9048,0.1365,-0.1585,0.4083,0.1528,0.0036193293683471316,2.33,False
LIHC,GOT1,266,82,13,0.2199,-0.2969,-1.0858,monotonic decreasing,-1.3057,-1.8566,-0.2969,-0.5732,-0.7675,-0.3459,-0.2704,1.8116796209500665e-07,7.31,False
LIHC,GLUD1,266,82,13,0.2317,-0.8588,-1.0975,monotonic decreasing,-1.3292,-2.0379,-0.8662,-0.8138,-0.9138,-0.694,-0.4607,2.268594580674497e-20,21.23,False
LIHC,GPT2,266,82,13,0.3143,-0.3817,-0.5615,monotonic decreasing,-0.8758,-1.4249,-0.5494,-0.5356,-0.701,-0.3568,-0.2595,5.768704133341393e-07,6.73,False
LIHC,signature,266,82,13,0.1008,-0.1603,-0.4895,monotonic decreasing,-0.5903,-0.8378,-0.3118,-0.7073,-0.8849,-0.4928,-0.3116,1.4432890766311561e-09,9.71,False
LUSC,GLS,219,217,48,-0.0236,-0.0871,-0.2829,monotonic decreasing,-0.2593,-0.5562,-0.063,-0.1676,-0.3413,0.0065,-0.0915,0.04426789762234448,0.84,True
LUSC,SLC1A5,219,217,48,-0.0894,0.1773,-0.1269,non-monotonic,-0.0376,-0.2975,0.6649,0.0782,-0.1256,0.2685,0.1221,0.007156914340818226,1.49,False
LUSC,GOT1,219,217,48,0.1941,-0.2219,-0.1535,non-monotonic,-0.3476,-0.9836,0.0152,-0.3078,-0.4719,-0.136,-0.2264,4.79162895912891e-07,5.13,False
LUSC,GLUD1,219,217,48,0.3302,-0.268,-0.1944,non-monotonic,-0.5246,-0.9097,-0.0225,-0.3455,-0.5242,-0.1562,-0.3243,2.585662528567626e-13,10.52,False
LUSC,GPT2,219,217,48,0.0025,0.1955,0.2354,monotonic increasing,0.2329,-0.4665,0.6249,0.1111,-0.0714,0.3,0.0966,0.033580176495639505,0.93,True
LUSC,signature,219,217,48,0.0784,-0.0732,-0.0822,monotonic decreasing,-0.1606,-0.3637,0.0436,-0.2255,-0.4024,-0.0401,-0.1684,0.00019700614364617422,2.84,False
OV,GLS,172,108,15,0.065,-0.0417,-0.2405,monotonic decreasing,-0.3055,-1.3107,0.4929,-0.2124,-0.5372,0.1248,-0.0891,0.12670719697229713,0.79,True
OV,SLC1A5,172,108,15,-0.1267,0.0558,0.7203,monotonic increasing,0.847,0.3464,1.1465,0.4628,0.1984,0.6752,0.146,0.012077897687590293,2.13,False
OV,GOT1,172,108,15,0.2206,-0.3888,0.2356,non-monotonic,0.015,-1.023,0.368,-0.0915,-0.4039,0.2241,-0.2568,7.915053685579045e-06,6.6,False
OV,GLUD1,172,108,15,0.4396,-0.485,-0.9751,monotonic decreasing,-1.4147,-1.7815,-0.918,-0.8581,-0.9442,-0.7488,-0.5344,3.497635600157258e-23,28.55,False
OV,GPT2,172,108,15,-0.0985,0.1025,0.0605,non-monotonic,0.159,-0.3932,0.7407,0.0426,-0.245,0.3178,0.0519,0.3748037890067656,0.27,True
OV,signature,172,108,15,0.1047,-0.1547,-0.1944,monotonic decreasing,-0.2991,-0.529,-0.0442,-0.3721,-0.6435,-0.0852,-0.2814,9.005699682256862e-07,7.92,False
PRAD,GLS,330,73,85,0.0343,0.3311,-0.0756,non-monotonic,-0.11,-0.4016,0.2233,-0.05,-0.1861,0.0977,0.0202,0.6554626418508442,0.04,True
PRAD,SLC1A5,330,73,85,0.2716,-0.1154,-0.5501,monotonic decreasing,-0.8217,-1.0531,-0.57,-0.5294,-0.6344,-0.4197,-0.3476,2.6620074021475453e-15,12.08,False
PRAD,GOT1,330,73,85,0.1185,-0.277,-0.4704,monotonic decreasing,-0.5888,-1.0132,-0.103,-0.2824,-0.4468,-0.127,-0.2242,5.641754334944184e-07,5.03,False
PRAD,GLUD1,330,73,85,0.4317,-0.5932,-0.869,monotonic decreasing,-1.3007,-1.6119,-1.0922,-0.7743,-0.8555,-0.6876,-0.5859,2.554983212515287e-46,34.33,False
PRAD,GPT2,330,73,85,0.2105,-0.4497,-0.451,monotonic decreasing,-0.6614,-0.9669,-0.4375,-0.4563,-0.5748,-0.3344,-0.326,1.523828370836869e-13,10.63,False
PRAD,signature,330,73,85,0.2328,-0.2358,-0.4535,monotonic decreasing,-0.6863,-0.8423,-0.5484,-0.7375,-0.8176,-0.6471,-0.5392,3.780043937782178e-38,29.07,False
SARC,GLS,116,120,15,-0.045,0.0976,-0.1598,non-monotonic,-0.1148,-0.4889,0.4679,0.0195,-0.277,0.2989,0.1025,0.1052906255753358,1.05,False
SARC,SLC1A5,116,120,15,0.164,0.0946,0.4733,non-monotonic,0.3093,-0.6473,0.8173,0.1172,-0.2265,0.4622,-0.0051,0.9364159017761048,0.0,True
SARC,GOT1,116,120,15,0.4287,-0.4262,-0.2684,non-monotonic,-0.6971,-1.5193,0.0768,-0.4,-0.7104,-0.0471,-0.4008,4.1903362932144644e-11,16.07,False
SARC,GLUD1,116,120,15,0.5288,-0.1885,-0.4708,monotonic decreasing,-0.9996,-1.4995,-0.6753,-0.8264,-0.9196,-0.7115,-0.5261,2.8702367155870344e-19,27.68,False
SARC,GPT2,116,120,15,0.0521,-0.1623,0.186,non-monotonic,0.1339,-0.7026,1.1564,0.0563,-0.2839,0.4092,-0.0972,0.12452369996362465,0.94,True
SARC,signature,116,120,15,0.2202,-0.1378,-0.2433,monotonic decreasing,-0.4635,-0.8372,0.1446,-0.4069,-0.7115,-0.0735,-0.3461,1.8014158008423722e-08,11.98,False
SKCM,GLS,134,205,28,0.1698,0.1719,0.0646,non-monotonic,-0.1052,-0.4592,0.4144,-0.0059,-0.2298,0.2223,0.0111,0.8326958689584482,0.01,True
SKCM,SLC1A5,134,205,28,-0.1183,-0.0564,-0.275,non-monotonic,-0.1566,-0.6203,0.2851,-0.1535,-0.3785,0.0858,-0.0192,0.7138595120626846,0.04,True
SKCM,GOT1,134,205,28,0.5307,-0.4502,-0.3341,non-monotonic,-0.8648,-1.3291,-0.4601,-0.5107,-0.6802,-0.3395,-0.3711,1.9808545311309766e-13,13.78,False
SKCM,GLUD1,134,205,28,0.5933,-0.2878,-0.556,monotonic decreasing,-1.1492,-1.4247,-0.6189,-0.589,-0.7596,-0.387,-0.4505,9.594860974332997e-20,20.3,False
SKCM,GPT2,134,205,28,-0.0097,0.0485,0.0436,non-monotonic,0.0533,-0.3377,0.4496,0.0261,-0.1919,0.2436,0.0332,0.5257413902528953,0.11,True
SKCM,signature,134,205,28,0.1869,-0.0841,-0.1856,monotonic decreasing,-0.3726,-0.5839,-0.1913,-0.556,-0.7276,-0.3646,-0.3679,3.3124997620998037e-13,13.54,False
STAD,GLS,301,89,20,-0.1865,0.0627,-1.0253,non-monotonic,-0.8388,-1.0783,0.3442,-0.2299,-0.5423,0.0944,0.0234,0.6368922040362339,0.05,True
STAD,SLC1A5,301,89,20,-0.0721,0.2873,0.2507,non-monotonic,0.3228,-0.1963,0.6091,0.1821,-0.0911,0.4389,0.2036,3.266378996155575e-05,4.15,False
STAD,GOT1,301,89,20,-0.0044,-0.3467,0.4769,non-monotonic,0.4814,-0.442,0.9989,0.0963,-0.202,0.3781,-0.0929,0.06009461317837569,0.86,True
STAD,GLUD1,301,89,20,0.1749,-0.5351,-0.9132,monotonic decreasing,-1.0881,-2.2119,-0.693,-0.6571,-0.8689,-0.3933,-0.4084,6.506632694065023e-18,16.68,False
STAD,GPT2,301,89,20,-0.111,0.0224,0.25,monotonic increasing,0.361,-0.5387,1.1888,0.1299,-0.1791,0.4326,0.0795,0.10781067057652532,0.63,True
STAD,signature,301,89,20,0.0037,-0.0021,-0.177,monotonic decreasing,-0.1808,-0.5534,0.2121,-0.1973,-0.4569,0.0698,-0.0589,0.2338119203665931,0.35,True
UCEC,GLS,449,53,19,0.0499,0.2258,-0.1704,non-monotonic,-0.2202,-0.4556,0.0897,-0.085,-0.3204,0.1617,0.068,0.12117265271732297,0.46,True
UCEC,SLC1A5,449,53,19,0.0485,0.2616,0.35,monotonic increasing,0.3015,-0.1294,0.7982,0.2144,-0.0555,0.4636,0.0824,0.06006642158643937,0.68,True
UCEC,GOT1,449,53,19,-0.0203,-0.6786,-0.3461,non-monotonic,-0.3259,-1.1225,0.1874,-0.2299,-0.5131,0.0573,-0.1724,7.640875370535974e-05,2.97,False
UCEC,GLUD1,449,53,19,0.0992,-0.8746,-1.3009,monotonic decreasing,-1.4001,-1.9379,-0.4105,-0.5646,-0.8109,-0.2771,-0.3042,1.291964649661313e-12,9.25,False
UCEC,GPT2,449,53,19,0.0542,-0.2728,0.2177,non-monotonic,0.1635,-0.547,0.526,0.0358,-0.2181,0.2911,-0.0629,0.15142042128147712,0.4,True
UCEC,signature,449,53,19,-0.0031,-0.2277,-0.2503,monotonic decreasing,-0.2473,-0.4663,-0.0951,-0.3171,-0.5621,-0.0461,-0.1682,0.00011441299292253562,2.83,False
