study,mediator,genes_in_score,n,path_a_exposure_to_mediator,path_a_p,path_b_mediator_to_outcome,path_b_p,direct_effect,indirect_effect,indirect_ci_lo,indirect_ci_hi
BLCA,MYC_mRNA,1,404,-0.1205,0.036877733381668026,0.2322,1.1728763985073303e-06,-0.2753,-0.028,-0.0619,-0.001
BLCA,MYC_targets_V1,39,404,-0.0329,0.570081129530444,0.2896,8.008705944510283e-10,-0.2938,-0.0095,-0.0423,0.0226
BLCA,MYC_targets_V2,24,404,-0.0614,0.2881023118271458,0.3261,3.4939589587430684e-12,-0.2833,-0.02,-0.0582,0.0179
BRCA,MYC_mRNA,1,1068,0.0028,0.9408151774820998,0.1631,7.95420254920256e-08,-0.083,0.0005,-0.0118,0.0132
BRCA,MYC_targets_V1,39,1068,0.1705,6.973233900131921e-06,0.4162,3.0015714715756833e-45,-0.1535,0.071,0.0388,0.1059
BRCA,MYC_targets_V2,24,1068,0.1889,6.238401446293946e-07,0.4312,1.4884689481063858e-48,-0.164,0.0814,0.0464,0.1173
CESC,MYC_mRNA,1,290,-0.1258,0.085809889991837,0.3036,3.114681872328586e-08,-0.3556,-0.0382,-0.0858,0.0055
CESC,MYC_targets_V1,39,290,0.0319,0.6635087417787515,0.2315,2.7653654859746217e-05,-0.4012,0.0074,-0.0269,0.045
CESC,MYC_targets_V2,24,290,-0.0339,0.64409118413109,0.2387,1.5140597470981592e-05,-0.3857,-0.0081,-0.047,0.029
COADREAD,MYC_mRNA,1,590,-0.0406,0.4555230639142749,0.1106,0.004903063357114622,-0.388,-0.0045,-0.019,0.0074
COADREAD,MYC_targets_V1,39,590,-0.027,0.6194437639888281,0.3181,9.894813553464186e-17,-0.3839,-0.0086,-0.0461,0.0269
COADREAD,MYC_targets_V2,24,590,-0.0303,0.57821048769043,0.32,6.439278815635974e-17,-0.3828,-0.0097,-0.0454,0.0237
GBM,MYC_mRNA,1,148,-0.1753,0.14218791372410938,-0.0572,0.49084813845010794,-0.1945,0.01,-0.0247,0.0614
