study,gene,chr,rho_expr_vs_severity,p,rho_geneCN_vs_ptenCN
BLCA,GLUD1,chr10,-0.3706990411126806,1.3180485600807888e-14,0.9044813329037652
BLCA,GOT1,chr10,-0.3263784810964409,1.7579644939885264e-11,0.8308659816154147
BLCA,GLS,other,-0.08550445100885429,0.08608196265785216,-0.02411342157858397
BLCA,GPT2,other,0.14575915784409554,0.003321075867649453,0.18053412887151257
BLCA,SLC1A5,other,0.05580472852129838,0.2631154258998609,-0.010617621423944585
BRCA,GLUD1,chr10,-0.4484458498049224,5.781533586734295e-54,0.8742659601273155
BRCA,GOT1,chr10,-0.12239820833569993,6.0613432258397605e-05,0.7396887653899725
BRCA,GLS,other,0.19160604729372743,2.737059358593397e-10,0.05370846475229121
BRCA,GPT2,other,0.1698684077690088,2.3304924336398885e-08,-0.10913902033389336
BRCA,SLC1A5,other,0.02544096884204981,0.4062117738458106,0.069269940866107
CESC,GLUD1,chr10,-0.44514759211867144,1.6084711356497637e-15,0.9551245346896865
CESC,GOT1,chr10,-0.28199695958175425,1.0559714831324462e-06,0.8113876748964357
CESC,GLS,other,0.11926527449633408,0.042408213637815696,-0.13098259712633328
CESC,GPT2,other,-0.07547914085215818,0.1999685931087963,-0.06886087046104752
CESC,SLC1A5,other,-0.07080701927318306,0.22932412649777692,0.00917850052469864
COADREAD,GLUD1,chr10,-0.3771332602815725,2.2250825174244697e-21,0.9400490826195692
COADREAD,GOT1,chr10,-0.2770507930270193,7.395284542192304e-12,0.8700561750428353
COADREAD,GLS,other,0.037629578495218405,0.3615560421692708,-0.07214753462472048
COADREAD,GPT2,other,-0.025379621590960768,0.5383826183622248,-0.026906130556259098
COADREAD,SLC1A5,other,-0.017968925280284737,0.6631463951121869,0.07577250306974286
GBM,GLUD1,chr10,-0.021839629863354713,0.7921889478381393,0.708951571123541
GBM,GOT1,chr10,-0.18371785694978648,0.025408576648423074,0.708951571123541
GBM,GLS,other,-0.13868164963230242,0.09277016666453387,0.04359809296576553
GBM,GPT2,other,0.029306856250457612,0.7236489898514876,0.02830831231552405
GBM,SLC1A5,other,-0.0776109787717598,0.3484562790833301,-0.09175635388233433
HNSC,GLUD1,chr10,-0.3100463078519097,8.377849625624327e-13,0.959304347300038
HNSC,GOT1,chr10,-0.21523245626840962,9.511322984705676e-07,0.912268437769435
HNSC,GLS,other,0.06318823679779076,0.15458851022864534,-0.06345275553634841
HNSC,GPT2,other,0.0399787120398201,0.36806533229295274,0.14330909963686533
HNSC,SLC1A5,other,0.06084687559759369,0.17047994699504998,0.06474894723111266
LIHC,GLUD1,chr10,-0.46073066128134105,2.268594580674497e-20,0.9751288493768205
LIHC,GOT1,chr10,-0.2704200138589469,1.8116796209500665e-07,0.8887227692557219
LIHC,GLS,other,0.17321753604425955,0.0009506642248340012,0.1314414394170602
LIHC,GPT2,other,-0.2594751731694042,5.768704133341393e-07,-0.0008834244995050506
LIHC,SLC1A5,other,0.15276497198070588,0.0036193293683471316,0.1569441030873298
LUSC,GLUD1,chr10,-0.3242839018605848,2.585662528567626e-13,0.8291060946470283
LUSC,GOT1,chr10,-0.22644601365742748,4.79162895912891e-07,0.7576199609348432
LUSC,GLS,other,-0.09147862268535299,0.04426789762234448,-0.05671538055932175
LUSC,GPT2,other,0.09661815817153031,0.033580176495639505,0.13456356913442052
LUSC,SLC1A5,other,0.12210586145622299,0.007156914340818226,-0.04767617946779599
OV,GLUD1,chr10,-0.534366553705117,3.497635600157258e-23,0.9301409821239403
OV,GOT1,chr10,-0.2568206988879886,7.915053685579045e-06,0.7401703008919709
