gene,chromosome,start,end,strand,tss,assembly,ensembl_id
PTEN,10,87862638,87971930,1,87862638,GRCh38,ENSG00000171862
GLUD1,10,87050202,87095405,-1,87095405,GRCh38,ENSG00000148672
GOT1,10,99396869,99431465,-1,99431465,GRCh38,ENSG00000120053
GLS,2,190880322,190965552,1,190880322,GRCh38,ENSG00000115419
SLC1A5,19,46758394,46788617,-1,46788617,GRCh38,ENSG00000105281
GPT2,16,46882857,46931299,1,46882857,GRCh38,ENSG00000166123
KLLN,10,87859158,87863533,-1,87863533,GRCh38,ENSG00000227268
ATAD1,10,87744644,87842355,-1,87842355,GRCh38,ENSG00000138138
PAPSS2,10,87659613,87747708,1,87659613,GRCh38,ENSG00000198682
RNLS,10,88273551,88584530,-1,88584530,GRCh38,ENSG00000184719
MINPP1,10,87504859,87555094,1,87504859,GRCh38,ENSG00000107789
BMPR1A,10,86755751,86932825,1,86755751,GRCh38,ENSG00000107779
WAPL,10,86435256,86521843,-1,86521843,GRCh38,ENSG00000062650
FAS,10,88953813,89029605,1,88953813,GRCh38,ENSG00000026103
ACTA2,10,88934815,88991339,-1,88991339,GRCh38,ENSG00000107796
LIPA,10,89212830,89415367,-1,89415367,GRCh38,ENSG00000107798
IFIT1,10,89392546,89406487,1,89392546,GRCh38,ENSG00000185745
IFIT2,10,89283694,89309271,1,89283694,GRCh38,ENSG00000119922
IFIT3,10,89327307,89377473,1,89327307,GRCh38,ENSG00000119917
HHEX,10,92689893,92695647,1,92689893,GRCh38,ENSG00000152804
IDE,10,92451684,92574096,-1,92574096,GRCh38,ENSG00000119912
KIF11,10,92574105,92655395,1,92574105,GRCh38,ENSG00000138160
EXOC6,10,92826831,93059493,1,92826831,GRCh38,ENSG00000138190
CYP26A1,10,93073475,93077885,1,93073475,GRCh38,ENSG00000095596
MYOF,10,93306429,93482334,-1,93482334,GRCh38,ENSG00000138119
PLCE1,10,93993807,94332823,1,93993807,GRCh38,ENSG00000138193
NOC3L,10,94320340,94362982,-1,94362982,GRCh38,ENSG00000173145
TBC1D12,10,94402377,94537452,1,94402377,GRCh38,ENSG00000108239
HELLS,10,94545329,94613905,1,94545329,GRCh38,ENSG00000119969
CYP2C9,10,94938544,94990149,1,94938544,GRCh38,ENSG00000138109
PDLIM1,10,95237569,95291126,-1,95291126,GRCh38,ENSG00000107438
SORBS1,10,95311390,95561469,-1,95561469,GRCh38,ENSG00000095637
ENTPD1,10,95711752,95901433,1,95711752,GRCh38,ENSG00000138185
HPS1,10,98410939,98446966,-1,98446966,GRCh38,ENSG00000107521
HPSE2,10,98457077,99235878,-1,99235878,GRCh38,ENSG00000172987
ERLIN1,10,100150094,100186062,-1,100186062,GRCh38,ENSG00000107566
CPN1,10,100041105,100081907,-1,100081907,GRCh38,ENSG00000120054
DNMBP,10,99875576,100010049,-1,100010049,GRCh38,ENSG00000107554
ABCC2,10,99782640,99853670,1,99782640,GRCh38,ENSG00000023839
CHUK,10,100188299,100229611,-1,100229611,GRCh38,ENSG00000213341
SCD,10,100346508,100364837,1,100346508,GRCh38,ENSG00000099194
SEC31B,10,100484998,100519892,-1,100519892,GRCh38,ENSG00000075826
NDUFB8,10,100523668,100530000,-1,100530000,GRCh38,ENSG00000166136
HIF1AN,10,100529072,100681896,1,100529072,GRCh38,ENSG00000166135
