cancer,gene,n,chromosome,rho_unadjusted,rho_given_arm10q,rho_given_own_cn
BLCA,GLUD1,404,chr10,-0.3707,-0.1086,0.0023
BLCA,GOT1,404,chr10,-0.3264,0.0269,0.0377
BLCA,GLS,404,other,-0.0855,-0.1161,-0.0759
BLCA,GPT2,404,other,0.1458,0.139,0.1807
BLCA,SLC1A5,404,other,0.0558,0.0585,0.0481
BRCA,GLUD1,1068,chr10,-0.4484,-0.2493,-0.1669
BRCA,GOT1,1068,chr10,-0.1224,0.0898,0.1147
BRCA,GLS,1068,other,0.1916,0.0986,0.2088
BRCA,GPT2,1068,other,0.1699,0.1152,0.1368
BRCA,SLC1A5,1068,other,0.0254,0.0358,0.0378
CESC,GLUD1,290,chr10,-0.4451,-0.1345,-0.0227
CESC,GOT1,290,chr10,-0.282,0.0791,0.0677
CESC,GLS,290,other,0.1193,0.007,0.0977
CESC,GPT2,290,other,-0.0755,0.0429,-0.1021
CESC,SLC1A5,290,other,-0.0708,-0.0361,-0.0789
COADREAD,GLUD1,590,chr10,-0.3771,-0.1823,-0.0498
COADREAD,GOT1,590,chr10,-0.2771,0.0402,0.0377
COADREAD,GLS,590,other,0.0376,-0.0462,0.0145
COADREAD,GPT2,590,other,-0.0254,0.0345,-0.0296
COADREAD,SLC1A5,590,other,-0.018,-0.0038,0.0055
GBM,GLUD1,148,chr10,-0.0218,0.0976,0.0976
GBM,GOT1,148,chr10,-0.1837,0.0458,0.0458
GBM,GLS,148,other,-0.1387,-0.1041,-0.1322
GBM,GPT2,148,other,0.0293,0.0823,0.0457
GBM,SLC1A5,148,other,-0.0776,0.0344,-0.1006
HNSC,GLUD1,509,chr10,-0.31,-0.1161,-0.0205
HNSC,GOT1,509,chr10,-0.2152,-0.0081,0.0327
HNSC,GLS,509,other,0.0632,-0.0277,0.0402
HNSC,GPT2,509,other,0.04,0.0373,0.0682
HNSC,SLC1A5,509,other,0.0608,0.0523,0.0832
LIHC,GLUD1,361,chr10,-0.4607,-0.1479,-0.1361
LIHC,GOT1,361,chr10,-0.2704,-0.1362,-0.1286
LIHC,GLS,361,other,0.1732,0.0173,0.1851
LIHC,GPT2,361,other,-0.2595,-0.1342,-0.2561
LIHC,SLC1A5,361,other,0.1528,0.0332,0.1663
LUSC,GLUD1,484,chr10,-0.3243,-0.0424,0.0254
LUSC,GOT1,484,chr10,-0.2264,-0.001,0.0197
LUSC,GLS,484,other,-0.0915,-0.0491,-0.1087
LUSC,GPT2,484,other,0.0966,0.0489,0.142
LUSC,SLC1A5,484,other,0.1221,0.0203,0.1112
OV,GLUD1,295,chr10,-0.5344,-0.2504,-0.0875
OV,GOT1,295,chr10,-0.2568,-0.0227,0.0237
OV,GLS,295,other,-0.0891,-0.1165,-0.0868
OV,GPT2,295,other,0.0519,0.04,0.0782
OV,SLC1A5,295,other,0.146,0.0356,0.1741
PRAD,GLUD1,488,chr10,-0.5859,-0.4611,-0.308
PRAD,GOT1,488,chr10,-0.2242,0.0148,0.0171
PRAD,GLS,488,other,0.0202,0.0084,0.0268
PRAD,GPT2,488,other,-0.326,-0.248,-0.3221
PRAD,SLC1A5,488,other,-0.3476,-0.2296,-0.3561
SARC,GLUD1,251,chr10,-0.5261,-0.2059,-0.0901
SARC,GOT1,251,chr10,-0.4008,-0.1237,0.0057
SARC,GLS,251,other,0.1025,0.0536,0.1693
SARC,GPT2,251,other,-0.0972,0.0309,0.0076
SARC,SLC1A5,251,other,-0.0051,-0.0176,0.0144
SKCM,GLUD1,367,chr10,-0.4505,-0.0987,-0.0779
SKCM,GOT1,367,chr10,-0.3711,-0.1299,-0.0659
SKCM,GLS,367,other,0.0111,-0.0009,0.0122
SKCM,GPT2,367,other,0.0332,0.0209,0.0645
SKCM,SLC1A5,367,other,-0.0192,-0.0925,-0.0216
STAD,GLUD1,410,chr10,-0.4084,-0.2033,-0.0034
STAD,GOT1,410,chr10,-0.0929,0.1375,0.1187
STAD,GLS,410,other,0.0234,-0.0903,0.0113
STAD,GPT2,410,other,0.0795,0.1338,0.1067
STAD,SLC1A5,410,other,0.2036,0.1576,0.208
UCEC,GLUD1,521,chr10,-0.3042,-0.1614,-0.1187
UCEC,GOT1,521,chr10,-0.1724,-0.018,0.0065
UCEC,GLS,521,other,0.068,0.0148,0.0103
UCEC,GPT2,521,other,-0.0629,-0.0707,0.0181
UCEC,SLC1A5,521,other,0.0824,-0.0073,0.0816
